Num,Title,Authors,Venue Abrev.,Venue,Field,Year,Preprocessing,Dimensionality Reduction,Quantitative Evaluation,Visualization,inaccuate,suboptimal,unstable,uninterpretable,unscalable,incomplete,irrefective,uninformed,Enhance reliability,Enhance awareness,Enhance Approchability,Improvements on DR,Improvements of Evaluation,Visualization Stage Solutions,DR framework,Visual Analytics System,Literature Review,Human-Centered Experiment,Computaional Experiment,FirstAuthor,BibIdentifier,FirstAuthorBib,Order,Group,GroupName,DOI,Citations
54,Multidimensional Projection with Radial Basis Function and Control Points Selection,E. Amorim; E. V. Brazil; L. G. Nonato; F. Samavati; M. C. Sousa,PacificVis,IEEE Pacific Visualization Symposium,Visualization and Visual Analytics,2014,3,3,,,,,3,,,,,,3,,,3,,,3,,,,,Amorim et al.,amorim14pacificvis,Amorim et al. \cite{amorim14pacificvis},0,3,Creator,,10
82,Linear discriminative star coordinates for exploring class and cluster separation of high dimensional data,"Y. Wang, J. Li, F. Nie, H. Theisel, M. Gong, and D. J. Lehmann",CGF,Computer Graphics Forum,Visualization and Visual Analytics,2017,,3,3,,,,3,,,3,,,3,,3,3,,,,,,,,Wang et al.,wang17cgf,Wang et al. \cite{wang17cgf},1,3,Creator,,35
109,"Multi-Perspective, Simultaneous Embedding",M. I. Hossain; V. Huroyan; S. Kobourov; R. Navarrete,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2021,,3,,,3,,3,,,3,,,3,,,3,,,,,,,,Hossain et al.,hossain21tvcg,Hossain et al. \cite{hossain21tvcg},2,3,Creator,,7
22,RadViz and identification of clusters in multidimensional data,L. Novakova and O. Stepankova,IVIS,International Conference on Information Visualisation,Visualization and Visual Analytics,2009,,3,,,3,,,,,3,,,3,,,3,,,,,,,,Novakova and Stepankova,novakova09ivis,Novakova and Stepankova \cite{novakova09ivis},3,3,Creator,,46
107,Steering distortions to preserve classes and neighbors in supervised dimensionality reduction,"B. Colange, J. Peltonen, M. Aupetit, D. Dutykh, and S. Lespinats",NeurIPS,DR Framework,Machine Learning and Artificial Intelligence,2020,,3,,,3,,,,,3,,,3,,,3,,,,,,,,Colange et al.,colange20neurips,Colange et al. \cite{colange20neurips},4,3,Creator,,11
73,Dimension reconstruction for visual exploration of subspace clusters in high-dimensional data,F. Zhou et al.,PacificVis,IEEE Pacific Visualization Symposium,Visualization and Visual Analytics,2016,3,3,,,,,,,,3,,,3,,,3,,,,,,,,Zhou et al.,zhouetal.16pacificvis,Zhou et al. \cite{zhouetal.16pacificvis},5,3,Creator,,30
17,Least Square Projection: A Fast High-Precision Multidimensional Projection Technique and Its Application to Document Mapping,F. V. Paulovich; L. G. Nonato; R. Minghim; H. Levkowitz,TVCG,IEEE Transactions on Visualization and Computer Graphics,Visualization and Visual Analytics,2008,,3,,,,,,,,3,,,3,,3,3,,,,,,,,Paulovich et al.,paulovich08tvcg,Paulovich et al. \cite{paulovich08tvcg},6,3,Creator,,371
10,Visualization of labeled data using linear transformations,Y. Koren and L. Carmel,INFOVIS,IEEE Symposium on Information Visualization,Visualization and Visual Analytics,2003,,3,,,,3,,,,3,,,3,,,3,,,,,,,,Koren and Carmel,koren03infovis,Koren and Carmel \cite{koren03infovis},7,3,Creator,,97
102,Hinted Star Coordinates for Mixed Data,Matute; Linsen.,CGF,Computer Graphics Forum,Visualization and Visual Analytics,2020,,3,,,,,,,,3,,,3,,,3,,,,,,,,Matute and  linsen.,matute20cgf,Matute and  linsen. \cite{matute20cgf},8,3,Creator,,4
3,Exploratory projection pursuit,J. H. Friedman,JASA,Journal of the American Statistical Association,Statistics,1987,,3,,,,,,,,3,,,3,,,3,,,,,,,,Friedman,friedman87jasa,Friedman \cite{friedman87jasa},9,3,Creator,,1300
